Data_Hora,ID_Veiculo,Linha,Latitude,Longitude,Numero_Passageiros,Tempo_Viagem_Minutos,Dado_Correto,Hora,Horario_Pico,Situacao
2024-03-22 20:53:00,Onibus 14,Linha 505,-23.58645,-46.656069,16,89,True,20,0,Rapida
2024-03-28 10:12:00,Onibus 30,Linha 505,-23.58962,-46.635203,34,54,True,10,1,Lenta
2024-03-12 03:29:00,Onibus 11,Linha 101,-23.551123,-46.649832,40,57,True,3,1,Lenta
2024-03-23 13:44:00,Onibus 15,Linha 505,-23.563025,-46.635066,27,89,True,13,0,Rapida
2024-03-02 21:13:00,Onibus 2,Linha 303,-23.554271,-46.639001,40,87,True,21,1,Lenta
2024-03-14 09:35:00,Onibus 29,Linha 202,-23.561727,-46.669256,12,88,True,9,0,Rapida
2024-03-29 15:55:00,Onibus 8,Linha 404,-23.555908,-46.671484,20,79,True,15,0,Rapida
2024-03-02 11:49:00,Onibus 14,Linha 404,-23.577805,-46.665648,18,76,True,11,0,Rapida
2024-03-22 00:10:00,Onibus 19,Linha 202,-23.585918,-46.653783,29,76,True,0,0,Rapida
2024-03-11 03:24:00,Onibus 5,Linha 202,-23.596835,-46.669674,16,87,True,3,0,Rapida
2024-03-04 04:23:00,Onibus 27,Linha 303,-23.565109,-46.67141,29,60,True,4,0,Rapida
2024-03-22 11:04:00,Onibus 4,Linha 101,-23.595385,-46.656501,38,46,True,11,1,Lenta
2024-03-26 12:04:00,Onibus 28,Linha 303,-23.55685,-46.636532,2,33,True,12,0,Rapida
2024-03-17 09:00:00,Onibus 2,Linha 101,-23.585028,-46.637134,29,23,True,9,0,Rapida
2024-03-08 02:45:00,Onibus 21,Linha 202,-23.52838,-46.654063,33,136,False,2,1,Lenta
2024-03-12 11:49:00,Onibus 30,Linha 505,-23.554521,-46.661427,23,69,True,11,0,Rapida
2024-03-08 22:09:00,Onibus 1,Linha 101,-23.555537,-46.661838,0,50,True,22,0,Rapida
2024-03-24 14:35:00,Onibus 26,Linha 404,-23.574218,-46.655884,26,41,True,14,0,Rapida
2024-03-16 14:50:00,Onibus 15,Linha 202,-23.592713,-46.666255,14,90,True,14,0,Rapida
2024-03-25 03:10:00,Onibus 7,Linha 202,-23.587747,-46.640615,3,73,True,3,0,Rapida
2024-03-21 15:32:00,Onibus 23,Linha 303,-23.561389,-46.677779,31,21,True,15,1,Lenta
2024-03-30 05:27:00,Onibus 16,Linha 505,-23.555727,-46.646443,5,50,True,5,0,Rapida
