numero_passageiros,tempo_viagem_minutos,horario_pico
15,58,0
29,11,0
9,29,0
18,90,0
16,40,0
24,11,0
4,52,0
4,72,0
1,57,0
6,22,0
37,68,1
7,20,0
38,37,1
26,53,0
0,39,0
28,50,0
18,82,0
0,21,0
21,32,0
4,43,0
5,72,0
7,69,0
39,45,1
32,69,1
10,60,0
3,84,0
27,35,0
37,70,1
22,85,0
18,58,0
0,64,0
23,49,0
18,44,0
17,77,0
15,71,0
1,10,0
24,72,0
38,68,1
22,47,0
18,12,0
3,90,0
1,41,0
21,46,0
17,42,0
33,12,1
13,75,0
0,30,0
12,31,0
25,33,0
10,41,0
36,72,1
16,13,0
13,72,0
31,72,1
1,64,0
3,54,0
17,52,0
13,15,0
22,82,0
26,86,0
3,44,0
8,83,0
5,57,0
13,33,0
31,23,1
26,86,0
13,76,0
12,90,0
6,79,0
22,52,0
38,28,1
33,43,1
29,80,0
7,65,0
3,11,0
1,24,0
9,28,0
14,63,0
24,71,0
34,10,1
23,63,0
16,85,0
2,26,0
8,53,0
40,72,1
3,52,0
7,57,0
15,60,0
24,17,0
34,61,1
36,63,1
19,89,0
24,81,0
8,44,0
16,42,0
15,23,0
34,33,1
31,53,1
5,50,0
25,74,0
29,19,0
33,78,1
29,12,0
11,51,0
37,21,1
14,21,0
32,34,1
10,41,0
2,22,0
20,78,0
36,34,1
7,90,0
36,23,1
20,29,0
24,77,0
7,47,0
7,85,0
17,75,0
20,32,0
24,16,0
26,48,0
23,10,0
12,21,0
32,48,1
22,19,0
4,32,0
36,20,1
0,46,0
19,72,0
34,86,1
15,55,0
14,23,0
10,39,0
17,17,0
16,85,0
28,81,0
24,10,0
25,28,0
6,71,0
39,25,1
23,58,0
6,59,0
37,16,1
23,60,0
17,14,0
35,57,1
32,27,1
14,78,0
8,52,0
2,88,0
26,68,0
23,27,0
29,71,0
34,75,1
14,56,0
7,67,0
28,63,0
4,47,0
35,46,1
23,64,0
6,84,0
38,30,1
23,19,0
6,64,0
36,12,1
7,50,0
39,36,1
5,43,0
20,83,0
9,46,0
27,88,0
8,11,0
35,60,1
11,59,0
35,45,1
27,10,0
22,58,0
24,60,0
38,89,1
25,23,0
27,29,0
31,32,1
22,19,0
3,23,0
36,15,1
9,49,0
28,58,0
16,43,0
24,39,0
7,25,0
12,86,0
33,64,1
29,15,0
35,14,1
5,56,0
28,50,0
33,14,1
35,20,1
10,80,0
29,17,0
17,16,0
38,33,1
27,82,0
11,72,0
37,87,1
35,69,1
17,77,0
6,90,0
35,71,1
15,13,0
19,53,0
21,88,0
14,33,0
40,53,1
4,53,0
20,58,0
25,17,0
27,42,0
20,19,0
0,14,0
36,47,1
38,22,1
38,25,1
4,13,0
3,85,0
36,30,1
25,27,0
26,77,0
3,35,0
36,30,1
8,14,0
35,73,1
20,46,0
15,66,0
28,56,0
8,22,0
24,80,0
1,22,0
25,15,0
34,76,1
10,20,0
6,55,0
22,51,0
1,49,0
13,65,0
21,70,0
23,30,0
36,28,1
30,59,1
14,15,0
23,20,0
37,14,1
1,87,0
37,68,1
17,51,0
26,13,0
16,11,0
19,59,0
8,13,0
2,70,0
5,16,0
35,36,1
10,90,0
29,37,0
2,17,0
5,82,0
9,36,0
29,15,0
13,57,0
19,45,0
35,18,1
28,62,0
17,69,0
33,36,1
36,58,1
30,78,1
3,35,0
30,85,1
32,84,1
5,73,0
1,83,0
33,23,1
3,53,0
8,72,0
14,67,0
21,26,0
7,49,0
21,63,0
6,45,0
14,17,0
29,52,0
26,56,0
26,81,0
38,26,1
5,38,0
11,37,0
4,87,0
18,47,0
2,25,0
35,22,1
13,73,0
4,62,0
10,43,0
8,16,0
18,18,0
5,80,0
35,62,1
11,12,0
33,78,1
21,47,0
18,28,0
8,39,0
23,34,0
7,81,0
11,31,0
21,53,0
12,89,0
10,53,0
17,39,0
13,28,0
15,47,0
2,15,0
23,81,0
28,22,0
32,58,1
32,27,1
8,46,0
31,64,1
5,36,0
38,87,1
40,31,1
36,89,1
16,57,0
12,46,0
36,49,1
7,66,0
30,86,1
39,17,1
14,29,0
3,22,0
21,63,0
18,79,0
21,47,0
40,62,1
18,83,0
17,60,0
35,82,1
33,45,1
36,35,1
6,10,0
8,52,0
27,84,0
31,19,1
29,88,0
22,89,0
11,69,0
5,11,0
25,42,0
39,66,1
24,83,0
27,84,0
24,61,0
3,38,0
24,66,0
7,88,0
18,40,0
34,25,1
3,61,0
28,60,0
7,14,0
38,13,1
20,18,0
15,60,0
15,64,0
36,69,1
0,52,0
28,58,0
27,36,0
13,77,0
19,72,0
36,79,1
1,54,0
31,29,1
14,56,0
30,37,1
32,30,1
16,82,0
24,44,0
9,81,0
2,81,0
3,24,0
8,87,0
8,82,0
27,79,0
13,69,0
33,32,1
37,53,1
0,21,0
28,48,0
19,61,0
2,37,0
35,57,1
34,48,1
12,23,0
6,69,0
38,10,1
10,14,0
0,83,0
37,69,1
33,87,1
14,58,0
12,11,0
31,27,1
28,23,0
24,13,0
39,51,1
16,14,0
26,55,0
38,49,1
30,90,1
27,24,0
11,68,0
38,73,1
5,85,0
20,80,0
0,29,0
25,81,0
19,26,0
32,13,1
1,77,0
33,64,1
9,30,0
25,85,0
0,54,0
38,13,1
32,32,1
8,38,0
36,76,1
35,83,1
38,44,1
30,13,1
23,45,0
31,15,1
28,19,0
28,90,0
21,79,0
16,35,0
1,40,0
35,33,1
6,76,0
5,35,0
27,34,0
20,26,0
17,48,0
30,73,1
9,44,0
11,42,0
26,49,0
3,24,0
5,11,0
20,33,0
11,21,0
12,83,0
38,14,1
40,31,1
14,76,0
25,13,0
16,41,0
14,45,0
16,73,0
20,82,0
8,74,0
31,26,1
0,53,0
20,28,0
13,16,0
15,20,0
7,82,0
22,43,0
36,47,1
14,80,0
22,39,0
29,37,0
15,84,0
4,41,0
16,24,0
29,48,0
10,57,0
13,24,0
8,16,0
23,57,0
2,29,0
35,70,1
6,31,0
14,25,0
16,89,0
10,27,0
29,82,0
7,28,0
16,70,0
4,60,0
28,29,0
26,28,0
38,19,1
6,66,0
27,51,0
4,35,0
17,57,0
