data_hora,id_veiculo,linha,latitude,longitude,numero_passageiros,tempo_viagem_minutos,hora,horario_pico,situacao
2024-03-22 07:58:00,Ônibus 29,Linha 101,-23.572877,-46.676752,15,58,7,0,Lenta
2024-03-07 08:07:00,Ônibus 2,Linha 202,-23.597418,-46.677603,29,11,8,0,Lenta
2024-03-06 16:00:00,Ônibus 15,Linha 505,-23.56496,-46.634632,9,29,16,0,Lenta
2024-03-25 01:56:00,Ônibus 27,Linha 404,-23.56902,-46.639188,18,90,1,0,Lenta
2024-03-16 11:46:00,Ônibus 12,Linha 303,-23.573256,-46.643314,16,40,11,0,Lenta
2024-03-09 05:45:00,Ônibus 18,Linha 404,-23.596995,-46.673793,24,11,5,0,Lenta
2024-03-22 05:59:00,Ônibus 24,Linha 202,-23.567505,-46.662722,4,52,5,0,Lenta
2024-03-09 12:09:00,Ônibus 13,Linha 404,-23.590442,-46.653165,4,72,12,0,Lenta
2024-03-05 13:57:00,Ônibus 9,Linha 505,-23.597208,-46.643344,1,57,13,0,Lenta
2024-03-01 09:08:00,Ônibus 27,Linha 505,-23.552576,-46.670027,6,22,9,0,Lenta
2024-03-21 10:18:00,Ônibus 13,Linha 303,-23.558245,-46.646266,37,68,10,1,Rapida
2024-03-17 15:37:00,Ônibus 17,Linha 202,-23.599967,-46.667272,7,20,15,0,Lenta
2024-03-18 11:36:00,Ônibus 25,Linha 101,-23.578797,-46.636209,38,37,11,1,Rapida
2024-03-03 19:01:00,Ônibus 4,Linha 101,-23.551735,-46.672653,26,53,19,0,Lenta
2024-03-23 15:25:00,Ônibus 10,Linha 505,-23.555517,-46.672424,0,39,15,0,Lenta
2024-03-31 02:58:00,Ônibus 6,Linha 505,-23.571285,-46.676656,28,50,2,0,Lenta
2024-03-30 01:11:00,Ônibus 20,Linha 404,-23.5797,-46.672129,18,82,1,0,Lenta
2024-03-09 03:40:00,Ônibus 8,Linha 202,-23.556623,-46.651788,0,21,3,0,Lenta
2024-03-29 14:59:00,Ônibus 26,Linha 202,-23.590152,-46.640527,21,32,14,0,Lenta
2024-03-09 17:53:00,Ônibus 13,Linha 101,-23.59505,-46.650635,4,43,17,0,Lenta
2024-03-02 00:32:00,Ônibus 10,Linha 505,-23.572025,-46.678869,5,72,0,0,Lenta
2024-03-22 20:15:00,Ônibus 12,Linha 404,-23.59886,-46.64823,7,69,20,0,Lenta
2024-03-14 07:19:00,Ônibus 13,Linha 404,-23.570095,-46.668204,39,45,7,1,Rapida
2024-03-04 08:59:00,Ônibus 28,Linha 404,-23.598648,-46.643318,32,69,8,1,Rapida
2024-03-23 23:18:00,Ônibus 11,Linha 202,-23.551951,-46.638621,10,60,23,0,Lenta
2024-03-11 06:46:00,Ônibus 5,Linha 404,-23.572935,-46.675451,3,84,6,0,Lenta
2024-03-22 06:52:00,Ônibus 11,Linha 202,-23.551001,-46.673239,27,35,6,0,Lenta
2024-03-08 09:37:00,Ônibus 6,Linha 404,-23.570423,-46.652117,37,70,9,1,Rapida
