Data_Hora,ID_Veiculo,Linha,Latitude,Longitude,Numero_Passageiros,Tempo_Viagem_Minutos,Dado_Correto,Hora,Horario_Pico,Situacao
2024-03-01 09:20:00,Onibus 27,Linha 505,-23.573268,-46.66958,39,24,True,9,1,Lenta
2024-03-19 00:20:00,Onibus 11,Linha 101,-23.57403,-46.670959,17,81,True,0,0,Rapida
2024-03-26 05:03:00,Onibus 27,Linha 101,-23.586386,-46.668388,37,25,True,5,1,Lenta
2024-03-04 13:34:00,Onibus 7,Linha 505,-23.585144,-46.632385,23,61,True,13,0,Rapida
2024-03-23 20:31:00,Onibus 24,Linha 505,-23.572388,-46.677985,10,75,True,20,0,Rapida
2024-03-30 13:44:00,Onibus 9,Linha 505,-23.579474,-46.638014,39,23,True,13,1,Lenta
2024-04-14 19:10:00,Onibus 20,Linha 202,-23.585337,-46.673796,40,72,False,19,1,Lenta
2024-03-08 02:30:00,Onibus 15,Linha 202,79.266954,66.834564,48,124,False,2,1,Lenta
2024-03-19 07:03:00,Onibus 27,Linha 202,-23.593828,-46.651262,27,80,True,7,0,Rapida
2024-03-06 20:03:00,Onibus 9,Linha 505,-23.553031,-46.659369,17,42,True,20,0,Rapida
2024-03-10 04:04:00,Onibus 3,Linha 505,-23.594299,-46.668207,7,25,True,4,0,Rapida
2024-03-01 16:53:00,Onibus 8,Linha 202,-23.550846,-46.630835,35,60,True,16,1,Lenta
2024-03-13 12:49:00,Onibus 24,Linha 101,-23.577365,-46.652834,4,31,True,12,0,Rapida
2024-03-09 13:18:00,Onibus 26,Linha 505,-23.575385,-46.679417,36,34,True,13,1,Lenta
2024-03-01 20:20:00,Onibus 28,Linha 404,-23.598307,-46.666219,8,71,True,20,0,Rapida
2024-03-16 20:10:00,Onibus 4,Linha 202,-23.639756,-46.626868,23,44,False,20,0,Rapida
2024-03-01 21:29:00,Onibus 11,Linha 404,-23.56968,-46.642957,37,31,True,21,1,Lenta
2024-03-26 06:47:00,Onibus 12,Linha 101,-23.550593,-46.642048,32,57,True,6,1,Lenta
2024-03-06 16:17:00,Onibus 27,Linha 505,-23.551109,-46.674016,40,52,True,16,1,Lenta
2024-03-25 01:20:00,Onibus 17,Linha 303,-23.559113,-46.679034,36,36,True,1,1,Lenta
2024-03-01 10:41:00,Onibus 23,Linha 101,-23.551447,-46.667179,14,78,True,10,0,Rapida
2024-03-13 08:04:00,Onibus 19,Linha 404,-23.599666,-46.660199,8,58,True,8,0,Rapida
2024-04-07 10:35:00,Onibus 9,Linha 202,-23.628272,-46.601239,49,67,False,10,1,Lenta
2024-03-03 13:53:00,Onibus 29,Linha 202,-23.584226,-46.667905,14,28,True,13,0,Rapida
2023-09-22 05:00:00,Onibus 7,Linha 404,-23.634521,-46.627305,5,80,False,5,0,Rapida
2024-03-09 21:24:00,Onibus 26,Linha 404,-23.594382,-46.647147,40,49,True,21,1,Lenta
2024-03-15 07:38:00,Onibus 6,Linha 101,-23.589907,-46.636894,8,34,True,7,0,Rapida
2024-04-07 00:18:00,Onibus 25,Linha 505,-47.055245,-133.921236,-2,113,False,0,0,Rapida
2024-03-06 09:49:00,Onibus 18,Linha 404,-23.580523,-46.636735,9,13,True,9,0,Rapida
2024-03-21 13:25:00,Onibus 13,Linha 303,-23.595643,-46.650673,30,54,True,13,1,Lenta
2024-03-30 20:56:00,Onibus 22,Linha 303,-23.582783,-46.675623,9,62,True,20,0,Rapida
2024-03-05 21:18:00,Onibus 20,Linha 404,-23.584578,-46.67314,35,35,True,21,1,Lenta
2024-03-09 17:46:00,Onibus 30,Linha 505,-23.550371,-46.661499,19,33,True,17,0,Rapida
2024-03-20 22:29:00,Onibus 8,Linha 303,-23.573255,-46.63296,15,14,True,22,0,Rapida
2024-03-26 20:33:00,Onibus 12,Linha 505,-23.61796,-46.674677,-3,44,False,20,0,Rapida
2024-03-09 02:56:00,Onibus 20,Linha 101,-23.562495,-46.645141,26,12,True,2,0,Rapida
2024-03-18 20:00:00,Onibus 5,Linha 404,-23.587156,-46.639407,27,38,True,20,0,Rapida
2024-03-07 21:53:00,Onibus 24,Linha 404,-23.583624,-46.636526,27,46,True,21,0,Rapida
2024-03-17 05:00:00,Onibus 21,Linha 202,-23.567629,-46.667945,36,61,True,5,1,Lenta
2024-03-26 17:14:00,Onibus 24,Linha 202,-23.555672,-46.670243,18,77,True,17,0,Rapida
2024-03-29 14:06:00,Onibus 23,Linha 202,-23.594698,-46.635846,35,69,True,14,1,Lenta
